video_id,title
ZhKFZwWREHg,Altomonte Não Te Deixarei Partir - altomonte
3032565656,Céu na Terra
1472728769,Em Teus Braços
3288689773,Espontâneo 1 (Ao Vivo)
2530900123,Eu Confio em Deus (Ao Vivo)
2930191073,Rei em meu Coração
GGL_USR_ID:1472720344,Brilhante Como O Sol
GGL_USR_ID:1472738754,Eu Permanecerei (Acústico)
GGL_USR_ID:3555067977,Procrastinação
GGL_USR_ID:1828293711,A Paz é Uma Promessa
08KOvoNsfZs, Lar de Milagres 
1472697676,É Muito Bom Ter Jesus (Reprise)
GGL_USR_ID:2930190607,Pai Nosso / A Terra Clama
1950063452,Não Temerei
GGL_USR_ID:1453402501,Em Teus Átrios (Ao Vivo)
1760986235,Meu Ar (Ao Vivo)
1453405778,Deus Eterno (Ao Vivo)
4225391146,Algo Novo (Acústico)
1495197991,Céus Abertos
GGL_USR_ID:2674602559,Grande Dia
1918627111,Muitos Quandos
1453401746,Acima das Provações
,Cantaremos Aleluia (Ao Vivo)
GGL_USR_ID:2429501203,Eu Vou Vencer (Ao Vivo)
GGL_USR_ID:1718873086,A Mão de Deus
E33w4ab4oko,Nada Impedirá (Clipe Oficial)
3239008424,Partiu (Ao Vivo)
GGL_USR_ID:1636861992,Abra os meus olhos
1524256920,No Silêncio (Ao Vivo)
1668024160,Além da Superfície
3145522368,Que O Incenso Suba
2694663808,No Más Murallas
GGL_USR_ID:4418644471,Suspiro (Playback)
1623996665,"À Sombra do Altíssimo (Ao Vivo no Rio de Janeiro, 2002)"
1451711177,O Tempo (Versão Voz e Violão)
GGL_USR_ID:1950063444,Foi por Nós
1453402392,Deus é o meu Refúgio (Live)
GGL_USR_ID:1453403824,Confio em Teu Amor (Ao Vivo)
1978128963,Meu Medo
1472749158,O Lugar (Ao Vivo)
GGL_USR_ID:1472746292,Precioso
GGL_USR_ID:1472797699,Se O Espírito De Deus Se Move Em Mim – Diálogo 9
1453401544,Te Adorar
1690116342,Salmo 23
GGL_USR_ID:1524256868,Fecho os meus olhos (Ao Vivo)
GGL_USR_ID:1736634643,Algo Novo (Ao Vivo)
GGL_USR_ID:2465450660,Obrigado Jesus (Ao Vivo)
GGL_USR_ID:1472701109,Novo de Novo
9v8bknh5JSA,CÉUS | fhop music (Ao Vivo)
GGL_USR_ID:2930191187,A Canção Mais Viva
GGL_USR_ID:3276168593,Rio Torto
GGL_USR_ID:3671239039,Aonde Eu Tenho Que Andar
GGL_USR_ID:1532120192,Ensina-me
GGL_USR_ID:1453406965,Santo é o Teu Nome (Remix)
2022136698,Nosso Deus (Ao Vivo)
L4KLa8EmGUE,Emaús (Lyric Vídeo) - Nazateen Music
1472701148,Salvo
5592806901,Eu Sou Grato a Ti
4684531114,Batimentos (Ao Vivo)
GGL_USR_ID:1453407259,Deus não está morto / Como um leão
GGL_USR_ID:1453404857,Sacode Este Lugar (Ao Vivo)
GGL_USR_ID:1950063466,Verdadeiro Adorador
1950035485,Eu Me Rendo
,Não Desanime
,Me Esvaziar - Nivia Soares - Ao Vivo Studio
,Desperta
GGL_USR_ID:1541660299,Eu me Quebranto
3023429066,A Esperança
2465484127,Não Seremos Abalados
GGL_USR_ID:3133905362,Envolve
GGL_USR_ID:4684531114,Batimentos (Ao Vivo)
GGL_USR_ID:1453405983,Graça
GGL_USR_ID:4234717557,Este é o Mover (Playback)
3555067977,Procrastinação
,Atos 2
1646349715,Nós Somos Teus
GGL_USR_ID:1453402691,A Quem Temerei? (Ao Vivo)
1453407099,Reina
5364193466,"Te Adorarei, Te Exaltarei"
GGL_USR_ID:3593285144,A Tua Canção
GGL_USR_ID:4413969559,Manifeste
GGL_USR_ID:3008623661,At Your Feet
GGL_USR_ID:2180503789,Lindo És (Playback)
1453404490,Devolva a Glória (Ao Vivo)
4123774717,Como Não Confiar em Ti? (Ao Vivo)
GGL_USR_ID:1453405012,Misericórdia (Ao Vivo)
3302924671,Derrama Em Mim
OUyLQ4LwEBE,Nada Mais
GGL_USR_ID:1453404910,Relâmpagos E Trovões (Ao Vivo)
1524247858,Eu Também (100 Bilhões X)
1453403319,Me Libertou (Ao Vivo)
1646973652,Por Ti Quero Viver (Ao Vivo)
yhWydueDyzE,"Ei, Você "
GGL_USR_ID:1472749094,Corações Transformados (Ao Vivo)
CXSBsXERjCE,Quando Estás Neste Lugar / Tudo é para tudo Glória
,Mais do Que Tudo
3044246771,Vou Adorar (Instrumental)
1453403829,O Teu Amor (Ao Vivo)
1623996821,"Preciso de Ti (Ao Vivo no Rio de Janeiro, 2002)"
1453406210,Só de Pensar (Ao Vivo)
GGL_USR_ID:1552625830,Vou Me Entregar
DAnO3GldW4g,Saudades - DVD A Canção do Amor
GGL_USR_ID:4360598859,Born in the Fire
1779993698,Me Dou a Ti
1453405571,Futuro
2_a50C1bIrM,MEU LUGAR AO VIVO
GGL_USR_ID:2941555029,"Unção de Alegria, Unção de Riso (Ao Vivo)"
XC0xqg--JeI,REPROGRAMAR - PG
1803362919,Correrei (Ao Vivo)
GGL_USR_ID:2827328504,Ele Continua Sendo Bom
GGL_USR_ID:1453402250,Tua Presença
GGL_USR_ID:5312830893,Voz de Muitas Águas
h6pOUM7gErY,Soraya Moraes - Deus do Avivamento (Clipe Oficial)
GGL_USR_ID:1631121538,Despertador 9/11
6BCXDW-EuJ8,Bom Pastor EP Esperança - Brasa Church Music
dDVEFltaKxo,Sarah Oliveira - Vitorioso És | BRAVE
GGL_USR_ID:1472796227,Quando Nasce Uma Criança
GGL_USR_ID:4105983838,O Rei da Manjedoura
3340726800,Se Move
3145524209,Céu na Terra
1453404725,O Céu É Real
GGL_USR_ID:1453405870,Filho Do Deus Vivo (Ao Vivo)
1453403583,O Cheiro das Águas (Ao Vivo)
1472716305,Oceanos
O8FqxBnUVf8,Eu Me Rendo 
2077105942,Jesus (Playback)
1667986096,Noiva (Ao Vivo)
GGL_USR_ID:1472744606,Visitação
GGL_USR_ID:3071671120,Te Peço um Milagre (Playback)
2864524545,Vem Derrama / Faz Chover / A Terra Clama (Ao Vivo)
1472704774,A Volta (Ao Vivo)
GGL_USR_ID:1495921961,Minha Fortaleza
1450301695,Cria em Mim: Intro (Instrumental)
GGL_USR_ID:1472709068,Nada Me Satisfaz (Ao Vivo)
5504950188,Dependo de Ti
